Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
ADAM12,527.8696076335174,0.0,0.0,True
ISCU,527.5618912559088,0.0,0.0,True
TMEM140,527.2770461169387,0.0,0.0,True
BUB1B,526.9081555545977,0.0,0.0,True
HOXA1,526.4097729795864,0.0,0.0,True
ESR1,526.1867301702357,0.0,0.0,True
ANXA13,526.0666820838678,0.0,0.0,True
SEMA5B,526.0594126470926,0.0,0.0,True
TRPC5,526.0034701866877,0.0,0.0,True
FSCN1,525.6520620484886,0.0,0.0,True
NKAIN1,525.1760570933249,0.0,0.0,True
TM4SF18,524.9504220003097,0.0,0.0,True
ATP10B,524.4169652715539,0.0,0.0,True
CAV2,524.314534843067,0.0,0.0,True
CHDH,524.1962657935167,0.0,0.0,True
KRT17P1,524.0111527982643,0.0,0.0,True
NPC2,523.7699301565052,0.0,0.0,True
WDR62,523.0153486544643,0.0,0.0,True
NR3C1,522.7353051108811,0.0,0.0,True
CREB3L1,522.6619891691789,0.0,0.0,True
CBLC,522.3422758979508,0.0,0.0,True
SPRR3,522.2507427926,0.0,0.0,True
VSNL1,520.7615482735902,0.0,0.0,True
HOXA9,520.2159208127177,0.0,0.0,True
HOXC8,520.0561370805411,0.0,0.0,True
BDH2,519.597115547666,0.0,0.0,True
DUOX1,518.2546073936824,0.0,0.0,True
KHK,518.0368751488407,0.0,0.0,True
TRIM55,517.7843889155621,0.0,0.0,True
PON1,517.154070928881,0.0,0.0,True
SLC10A1,516.8809660476139,0.0,0.0,True
RHOV,516.4276655988399,0.0,0.0,True
STEAP1,515.0939959585795,0.0,0.0,True
KNL1,515.0281074532878,0.0,0.0,True
F7,514.9513880275654,0.0,0.0,True
LY6D,513.1148362917538,0.0,0.0,True
MMP24,512.967249259442,0.0,0.0,True
PTK6,512.9260132632342,0.0,0.0,True
TNFAIP6,512.6646715454874,0.0,0.0,True
HNF4G,512.589107474044,0.0,0.0,True
RCBTB2,512.3692693893578,0.0,0.0,True
ORC6,512.1752374777944,0.0,0.0,True
PLA2G2F,511.9143857202444,0.0,0.0,True
SEMA3C,511.5582298736094,0.0,0.0,True
SMIM24,511.19071685721536,0.0,0.0,True
ASF1B,510.65971896022194,0.0,0.0,True
TMEM176B,510.2428575322151,0.0,0.0,True
CDC6,510.10036700534164,0.0,0.0,True
PI3,509.5323302089375,0.0,0.0,True
ACAA2,509.53079544170555,0.0,0.0,True
CMIP,509.4672358180662,0.0,0.0,True
TMEM241,509.25432062578074,0.0,0.0,True
SLC39A6,508.91776879317626,0.0,0.0,True
E2F8,507.93305299897514,0.0,0.0,True
RBP4,507.77007055872343,0.0,0.0,True
MFAP2,506.99458953300734,0.0,0.0,True
HMGA2,506.98663894549713,0.0,0.0,True
PAGE4,506.72924931306756,0.0,0.0,True
ARSL,505.97760898209333,0.0,0.0,True
S100P,505.62629053048335,0.0,0.0,True
GPSM2,505.3027752908868,0.0,0.0,True
TMEM82,504.6513312365624,0.0,0.0,True
GATA4,503.6060458673386,0.0,0.0,True
CYP4A22,503.57049482199994,0.0,0.0,True
VWA2,503.53557248938154,0.0,0.0,True
FZD1,503.3135563405768,0.0,0.0,True
MYOM3,503.1842946478386,0.0,0.0,True
FGFR4,502.98965712545197,0.0,0.0,True
GRIK3,502.7288502513857,0.0,0.0,True
FAT2,502.4216230501965,0.0,0.0,True
SLC26A7,501.18915972455125,0.0,0.0,True
GHR,501.1031017072853,0.0,0.0,True
SYPL2,500.6565284620214,0.0,0.0,True
SLC25A36,500.5186342278441,0.0,0.0,True
MST1R,500.4069195273558,0.0,0.0,True
ORC1,500.22744911057936,0.0,0.0,True
CYP3A7,500.2211315269439,0.0,0.0,True
A2ML1,499.68557759933213,0.0,0.0,True
ACSM1,498.30261096707017,0.0,0.0,True
XBP1,498.252564495409,0.0,0.0,True
ENPP5,498.07922400373917,0.0,0.0,True
UGT1A6,497.96161517445086,0.0,0.0,True
POSTN,497.8637067565193,0.0,0.0,True
PDLIM5,497.243682836745,0.0,0.0,True
PTPN13,497.2078630867063,0.0,0.0,True
DGKA,495.66211036915274,0.0,0.0,True
KIF15,495.419193105927,0.0,0.0,True
ESPL1,494.85780472912234,0.0,0.0,True
IYD,494.63903587423596,0.0,0.0,True
LEAP2,494.4858930584404,0.0,0.0,True
ECRG4,494.3908196528993,0.0,0.0,True
LRRC2,494.08345543031083,0.0,0.0,True
TF,493.8875408226047,0.0,0.0,True
HROB,493.7882357094228,0.0,0.0,True
IQGAP1,493.6904445562784,0.0,0.0,True
FANCI,493.54086244220923,0.0,0.0,True
ECT2,493.28038901497763,0.0,0.0,True
FOXF1,493.0423436046237,0.0,0.0,True
HOXA13,493.0068335793244,0.0,0.0,True
SLC34A2,492.9268786913288,0.0,0.0,True
CRYL1,492.9200370865663,0.0,0.0,True
AFF3,492.8004043702825,0.0,0.0,True
HPD,492.56032419735016,0.0,0.0,True
ATP1B3,491.6286877940107,0.0,0.0,True
PDE1A,491.27395326947067,0.0,0.0,True
GLI3,491.1764867369299,0.0,0.0,True
GGTLC1,491.1156223329424,0.0,0.0,True
CGNL1,490.9922416198655,0.0,0.0,True
PRDM1,490.59590382848785,0.0,0.0,True
ATP2C2,490.18119173674376,0.0,0.0,True
CHPT1,489.75236895536733,0.0,0.0,True
ACSS3,489.60312037807705,0.0,0.0,True
IL1RN,489.4840439106093,0.0,0.0,True
CORO2A,489.4630684250554,0.0,0.0,True
PDK4,489.1273547401652,0.0,0.0,True
PNPLA7,488.0718520733082,0.0,0.0,True
RAB27A,487.2522440215556,0.0,0.0,True
TRPM3,486.88374489942515,0.0,0.0,True
COL11A1,486.819367529081,0.0,0.0,True
FRMD6,485.9029905709246,0.0,0.0,True
